,name,ran_successfully,runtime,start_mem,max_mem,mode,commit_hash,datetime,fname
29,bo_with_warped_gp,True,17.669904150000036,117.4453125,557.8515625,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
30,closed_loop_botorch_only,True,15.234933395999974,117.4453125,551.5703125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
31,compare_mc_analytic_acquisition,True,4.952800692999972,117.4453125,531.17578125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
32,composite_bo_with_hogp,True,157.51377255,117.1953125,1684.58203125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
33,composite_mtbo,True,79.85187394100001,117.1953125,634.37109375,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
34,constrained_multi_objective_bo,True,19.58191619699994,117.1953125,559.4453125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
35,custom_acquisition,True,34.644182984000054,117.1953125,922.8203125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
36,custom_botorch_model_in_ax,True,8.94533219799996,117.8046875,990.03125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
37,discrete_multi_fidelity_bo,True,64.192175712,118.0546875,579.3203125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
38,fit_model_with_torch_optimizer,True,4.609825075000003,118.296875,557.8671875,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
39,information_theoretic_acquisition_functions,True,237.40983730100004,120.140625,1778.0390625,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
40,max_value_entropy,True,13.215822724000075,120.140625,950.45703125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
41,meta_learning_with_rgpe,True,5.415671644999975,120.24609375,568.58984375,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
42,multi_fidelity_bo,True,25.713774895999904,120.24609375,562.0859375,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
43,multi_objective_bo,True,31.124170344999925,120.24609375,572.7734375,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
44,one_shot_kg,True,9.068772696999986,120.24609375,545.4140625,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
45,optimize_stochastic,True,4.390579360000174,120.24609375,544.19140625,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
46,optimize_with_cmaes,True,5.278443374000062,120.24609375,557.7890625,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
47,risk_averse_bo_with_environmental_variables,True,9.252974001999974,120.24609375,590.73046875,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
48,risk_averse_bo_with_input_perturbations,True,5.243008673000077,120.48046875,717.08984375,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
